1	OP_CODE	YEAR	VESSEL	SURVEY	BEST_LAT_DD	BEST_DEPTH_M	AREA_SWEPT_MSQ	EXPANDED_WT_KG	NUMBER_FISH
74	2.00E+11	2003	3	3	41.52862549	212.0371	22468.16381	44.59	67
75	2.00E+11	2003	3	3	41.50067329	670.0284	23475.0388	0	0
76	2.00E+11	2003	3	3	41.40742683	1037.3964	27017.99571	0	0
77	2.00E+11	2003	3	3	41.36489167	80.2624	19816.412	17.01	101
78	2.00E+11	2003	3	3	41.27122917	180.8479	22320.18998	42.49	50
79	2.00E+11	2003	3	3	41.11929167	1141.6964	36332.39642	0	0
80	2.00E+11	2003	3	3	41.00837917	449.7979	20597.76323	21.81	190
81	2.00E+11	2003	3	3	40.46845436	145.4173	20827.64998	3.42	36
82	2.00E+11	2003	3	3	40.3430233	370.5307	18185.08144	29.48	128
83	2.00E+11	2003	3	3	40.20462227	94.796	25812.97242	7.26	88
84	2.00E+11	2003	3	3	40.20006752	450.5277	18511.22372	25.53	68
85	2.00E+11	2003	3	3	40.18046761	905.5675	41514.14447	0	0
86	2.00E+11	2003	3	3	39.73444939	393.2378	20043.80733	40.77	70
87	2.00E+11	2003	3	3	39.67031288	248.2467	27023.74219	0.74	7
88	2.00E+11	2003	3	3	39.50177574	879.2609	31901.1819	0	0
89	2.00E+11	2003	3	3	39.24801826	95.6739	19866.83054	0.53	8
90	2.00E+11	2003	3	3	39.06691667	150.8131	24211.49223	11.44	43
91	2.00E+11	2003	3	3	38.85857582	310.7657	18296.44817	66.39	348
92	2.00E+11	2003	3	3	38.76736069	115.7048	20161.25597	0.98	9
93	2.00E+11	2003	3	3	38.70392609	190.6156	23579.89057	11.92	31
94	2.00E+11	2003	3	3	38.2569046	299.4356	19854.67654	22.08	179
95	2.00E+11	2003	3	3	38.03966141	117.0432	19121.42788	3.98	19
96	2.00E+11	2003	3	3	37.66803741	118.872	14958.69809	2.36	13
97	2.00E+11	2003	3	3	37.064475	116.8586	19772.36874	4.84	58
98	2.00E+11	2003	3	3	36.9995	139.223	21739.45549	0	0
99	2.00E+11	2003	3	3	36.36541367	133.6426	16673.09805	4.98	17
100	2.00E+11	2003	3	3	36.2214875	566.0136	17544.63405	0	0
101	2.00E+11	2003	3	3	35.78662872	889.9976	29736.35931	0	0
102	2.00E+11	2003	3	3	35.72844124	69.4255	20026.80323	0	0
103	2.00E+11	2003	3	3	35.56045723	412.6811	19202.5516	25.08	121
104	2.00E+11	2003	3	3	35.07059669	401.093	18211.18706	9.38	194
105	2.00E+11	2003	3	3	35.29533333	329.6212	18075.80361	6.8	85
106	2.00E+11	2003	3	3	34.95989037	524.3203	17552.31611	3.74	13
107	2.00E+11	2003	3	3	35.089975	55.75	22449.46767	0	0
108	2.00E+11	2003	3	3	34.83572006	207.4078	22641.55635	28.35	50
109	2.00E+11	2003	3	3	34.79321861	48.4646	17071.90839	0	0
110	2.00E+11	2003	3	3	34.65961667	54.885	19759.0686	0	0
111	2.00E+11	2003	3	3	34.61702538	325.9815	20620.77791	23.51	316
112	2.00E+11	2003	3	3	34.37884903	337.5912	23181.89647	3.33	23
113	2.00E+11	2003	3	3	34.32291222	433.8884	20642.05976	0.96	9
114	2.00E+11	2003	3	3	34.39621925	92.2116	17782.99491	0	0
115	2.00E+11	2003	3	3	34.23605728	478.3292	18702.75861	0	0
116	2.00E+11	2003	3	3	34.19224358	507.4336	15834.03839	0	0
117	2.00E+11	2003	3	3	34.1483593	450.5738	16240.4144	0	0
118	2.00E+11	2003	3	3	34.25705147	195.5185	18601.82596	0.96	11
119	2.00E+11	2003	3	3	33.80854607	113.8963	21648.65036	0	0
120	2.00E+11	2003	3	3	34.01584816	95.4821	21279.34257	0	0
121	2.00E+11	2003	3	3	34.02435	27.4418	23816.61456	0	0
122	2.00E+11	2003	3	3	33.52340126	431.2076	15963.80274	0.72	9
123	2.00E+11	2003	3	3	33.41830254	103.9797	18691.2446	0.1	1
124	2.00E+11	2003	3	3	33.26272583	822.528	22794.80964	0	0
125	2.00E+11	2003	3	3	32.57083702	768.9868	26353.56472	0	0
126	2.00E+11	2003	3	3	32.98830223	911.1786	25829.31762	0	0
127	2.00E+11	2003	3	3	33.16316605	790.2303	25227.14674	0	0
128	2.00E+11	2003	3	3	33.35585	24.4821	18511.4751	0	0
129	2.00E+11	2003	3	3	33.06354167	264.1154	25579.8046	3.4	19
130	2.00E+11	2003	3	3	32.82910538	101.2786	19378.88199	0	0
131	2.00E+11	2003	3	3	32.76560211	276.3667	19450.11126	11.08	71
132	2.00E+11	2003	3	3	34.8203373	476.8713	19074.98487	12.66	57
133	2.00E+11	2003	6	3	46.15689167	140.728	19970.25191	22.94	141
134	2.00E+11	2003	6	3	46.50400734	606.3237	22250.55562	0	0
135	2.00E+11	2003	6	3	46.7550375	107.4615	15958.6944	6.3	21
136	2.00E+11	2003	6	3	47.60206985	106.0853	17842.58809	14.24	90
137	2.00E+11	2003	6	3	47.67157745	176.6774	19726.08678	29.93	214
138	2.00E+11	2003	6	3	47.64741135	149.0631	20586.87109	55.75	255
139	2.00E+11	2003	6	3	48.43865967	312.8792	19253.47679	0.24	1
140	2.00E+11	2003	6	3	48.40010834	169.001	23153.22714	418.67	901
141	2.00E+11	2003	6	3	48.30670738	171.7821	25056.41284	64.66	119
142	2.00E+11	2003	6	3	48.26418304	123.1758	18531.9245	0	0
143	2.00E+11	2003	6	3	48.07754135	81.9092	18810.15419	8.86	70
144	2.00E+11	2003	6	3	48.16160393	114.109	17357.11933	101.57	410
145	2.00E+11	2003	6	3	48.0267086	125.3155	19994.13544	2.1	26
146	2.00E+11	2003	6	3	47.96616667	659.1641	24597.21682	0	0
147	2.00E+11	2003	6	3	47.91131401	296.2421	17936.06126	8.04	27
148	2.00E+11	2003	6	3	47.81755829	1325.0479	26053.68979	0	0
149	2.00E+11	2003	6	3	48.15981483	113.6844	18357.33564	0.07	1
150	2.00E+11	2003	6	3	48.1404438	135.8614	19457.67818	0.28	5
151	2.00E+11	2003	6	3	47.90626907	96.6484	19646.21632	17.34	74
152	2.00E+11	2003	6	3	47.7756424	107.9153	19548.61038	13.85	52
153	2.00E+11	2003	6	3	47.61030769	969.8005	32954.3835	0	0
154	2.00E+11	2003	6	3	47.73900223	949.1835	35491.81268	0	0
155	2.00E+11	2003	6	3	47.68302345	1096.3113	27217.83919	0	0
156	2.00E+11	2003	6	3	47.22568703	88.891	18346.69385	17.18	197
157	2.00E+11	2003	6	3	46.96545029	182.3438	20360.37882	18.5	234
158	2.00E+11	2003	6	3	46.3471756	977.8977	22657.43424	0	0
159	2.00E+11	2003	6	3	46.63735008	937.1324	23043.41303	0	0
160	2.00E+11	2003	6	3	46.76181793	769.8473	27143.73384	0	0
161	2.00E+11	2003	6	3	46.22581482	122.4722	19010.04068	24.3	179
162	2.00E+11	2003	6	3	46.26096725	926.2239	23665.19799	0	0
163	2.00E+11	2003	6	3	46.01436424	193.3821	18732.35219	24.39	281
164	2.00E+11	2003	6	3	45.92247009	92.3351	17583.31824	15.27	347
165	2.00E+11	2003	6	3	46.05979538	1340.8488	23171.13303	0	0
166	2.00E+11	2003	6	3	45.82539177	814.0237	28370.88135	0	0
167	2.00E+11	2003	6	3	45.60079956	155.4578	20747.27538	12.28	227
168	2.00E+11	2003	6	3	45.43622208	424.1749	21970.32653	8.55	41
169	2.00E+11	2003	6	3	45.44984627	1038.103	23219.4433	0	0
170	2.00E+11	2003	6	3	45.23276138	805.7441	24226.79563	0	0
171	2.00E+11	2003	6	3	45.09343338	732.5267	24360.19733	0	0
172	2.00E+11	2003	6	3	44.96425056	589.4568	20698.16076	2.37	5
173	2.00E+11	2003	6	3	44.81122589	390.5786	16306.61101	46.57	138
174	2.00E+11	2003	6	3	45.29987144	325.3697	18807.62738	6.05	61
175	2.00E+11	2003	6	3	45.10150833	313.3967	18401.09064	4.26	77
176	2.00E+11	2003	6	3	44.88166809	96.8557	20637.72104	8.36	89
177	2.00E+11	2003	6	3	44.75503731	581.0395	24128.54226	0	0
178	2.00E+11	2003	6	3	44.42813873	734.266	25308.78703	0	0
179	2.00E+11	2003	6	3	44.56784439	178.3962	19664.99504	19	212
180	2.00E+11	2003	6	3	44.35090417	96.1329	18204.38915	0	0
181	2.00E+11	2003	6	3	44.18777847	81.2202	16711.8508	26.3	194
182	2.00E+11	2003	6	3	43.91827083	176.4743	21877.58688	21.15	259
183	2.00E+11	2003	6	3	43.76863098	593.0698	21071.45717	0	0
184	2.00E+11	2003	6	3	43.59779167	670.3168	22252.36961	0	0
185	2.00E+11	2003	6	3	43.60926628	210.4412	21539.09862	36.34	522
186	2.00E+11	2003	6	3	43.37831306	614.4591	24635.7305	0.57	4
187	2.00E+11	2003	6	3	43.08953857	305.6989	17611.08185	65.47	489
188	2.00E+11	2003	6	3	42.89702797	142.7181	19786.89637	28	103
189	2.00E+11	2003	6	3	42.97608757	149.1287	21086.67903	25.89	643
190	2.00E+11	2003	6	3	43.0439167	163.4646	21755.6805	19.47	92
191	2.00E+11	2003	6	3	43.04487038	1030.0744	29045.74995	0	0
192	2.00E+11	2003	6	3	42.99534607	266.863	18386.23446	47.89	427
193	2.00E+11	2003	6	3	42.89669991	246.6699	19560.92102	38.43	459
194	2.00E+11	2003	6	3	42.78011322	198.739	22880.78435	71.53	604
195	2.00E+11	2003	6	3	42.6931572	590.2673	21679.66856	3.83	35
196	2.00E+11	2003	6	3	42.61108971	160.1001	17627.00108	22.69	205
197	2.00E+11	2003	6	3	42.45870399	319.1327	18466.10083	77.38	310
198	2.00E+11	2003	6	3	42.3899375	1134.1135	21514.88849	0	0
199	2.00E+11	2003	6	3	42.26806667	655.4748	16765.63115	0	0
200	2.00E+11	2003	6	3	42.27118874	498.8246	19832.86416	68.74	164
201	2.00E+11	2003	6	3	42.13665199	132.1188	20127.55123	99.74	116
202	2.00E+11	2003	6	3	42.10707283	528.1623	23684.89341	33.42	276
203	2.00E+11	2003	6	3	41.9025135	205.8245	16758.47211	106.04	702
204	2.00E+11	2003	6	3	41.74135017	488.1839	22518.09025	33.02	247
205	2.00E+11	2003	6	3	41.60414314	62.1653	17374.68383	8.15	55
206	2.00E+11	2003	6	3	41.470375	83.3097	17363.62698	7.24	77
207	2.00E+11	2003	6	3	41.85020256	935.2675	25510.13445	0	0
208	2.00E+11	2003	6	3	41.62048149	883.0831	25291.58533	0	0
209	2.00E+11	2003	6	3	41.46290833	736.9808	19231.15633	0	0
210	2.00E+11	2003	6	3	41.32385254	94.2582	14326.28738	26.16	340
211	2.00E+11	2003	6	3	41.16368294	295.172	21119.87778	85.88	643
212	2.00E+11	2003	6	3	41.18585205	1014.3185	32780.87916	0	0
213	2.00E+11	2003	6	3	40.92477417	652.4406	21453.87652	0.39	2
214	2.00E+11	2003	6	3	40.63578796	89.6389	18040.73974	1.48	79
215	2.00E+11	2003	6	3	40.99100833	103.7109	18181.94712	13.66	187
216	2.00E+11	2003	6	3	40.92421667	183.9699	21319.31716	35.24	93
217	2.00E+11	2003	6	3	40.36427879	328.1795	19744.02791	23.35	63
218	2.00E+11	2003	6	3	40.30247688	1020.5407	27338.35012	0	0
219	2.00E+11	2003	6	3	40.12029583	983.8771	27163.08279	0	0
220	2.00E+11	2003	6	3	39.99546814	1196.1182	29870.4639	0	0
221	2.00E+11	2003	6	3	39.88640404	1240.0225	33176.36276	0	0
222	2.00E+11	2003	6	3	40.00414848	130.6721	17661.36969	12.51	43
223	2.00E+11	2003	6	3	39.6644249	775.3519	23726.03745	0	0
224	2.00E+11	2003	6	3	39.54851723	101.9929	16360.19207	0.23	9
225	2.00E+11	2003	6	3	39.28828812	252.7378	19945.98454	28.64	184
226	2.00E+11	2003	6	3	39.16043854	471.4804	21388.48596	5.52	41
227	2.00E+11	2003	6	3	39.09222412	121.1822	15649.25341	18.93	94
228	2.00E+11	2003	6	3	38.90270615	141.5195	18997.77887	2.35	15
229	2.00E+11	2003	6	3	38.54680833	214.7994	19453.62028	66.51	263
230	2.00E+11	2003	6	3	38.18254852	396.2129	20760.88362	69.59	303
231	2.00E+11	2003	6	3	38.14492416	252.6083	18865.91628	0.38	4
232	2.00E+11	2003	6	3	38.07702083	79.9095	18376.49506	8.39	126
233	2.00E+11	2003	6	3	37.96759167	64.3396	18466.3408	0	0
234	2.00E+11	2003	6	3	37.67040833	60.7861	18135.26999	3.4	24
235	2.00E+11	2003	6	3	37.45663333	168.9024	19925.27528	11.86	105
236	2.00E+11	2003	6	3	37.26108742	93.4213	18890.77286	3.35	30
237	2.00E+11	2003	6	3	37.1611375	61.0487	18584.18508	0.41	3
238	2.00E+11	2003	6	3	37.13905334	362.1926	20311.0362	114.54	949
239	2.00E+11	2003	6	3	37.11949158	572.054	18109.90573	20.51	76
240	2.00E+11	2003	6	3	36.95969167	166.1689	18594.12056	9.28	61
241	2.00E+11	2003	6	3	36.4279213	1120.7542	29834.43511	0	0
242	2.00E+11	2003	6	3	36.23574066	251.1873	14760.7462	0.54	4
243	2.00E+11	2003	6	3	36.11565781	454.1625	18009.28876	4.4	18
244	2.00E+11	2003	6	3	35.96771622	131.6599	16017.44011	0.3	6
245	2.00E+11	2003	6	3	35.25252533	699.1108	23295.69284	0	0
246	2.00E+11	2003	6	3	35.50522083	218.9054	15208.31313	0.29	5
247	2.00E+11	2003	6	3	35.50110054	83.0526	16873.93724	0	0
248	2.00E+11	2003	6	3	35.14488333	161.4702	17146.45115	0.06	2
249	2.00E+11	2003	6	3	34.99774361	463.646	16774.05189	46.8	95
250	2.00E+11	2003	6	3	34.89034653	376.4372	19799.76678	92.02	1101
251	2.00E+11	2003	6	3	34.8714125	139.7549	17601.60587	0.1	0
252	2.00E+11	2003	6	3	34.73334167	47.245	17631.24394	0.05	2
253	2.00E+11	2003	6	3	34.66471291	431.5427	17546.65888	11.3	164
254	2.00E+11	2003	6	3	34.46283531	273.4237	19769.2891	1.22	9
255	2.00E+11	2003	6	3	34.36586952	441.3583	20302.59205	24.27	99
256	2.00E+11	2003	6	3	34.43990517	74.2938	21697.34147	0	0
257	2.00E+11	2003	6	3	34.21370125	203.2815	19972.99001	5.94	35
258	2.00E+11	2003	6	3	34.17340279	525.4698	21853.40828	0	0
259	2.00E+11	2003	6	3	34.25388908	585.3152	20703.12634	0	0
260	2.00E+11	2003	6	3	34.2863884	535.9226	19712.88969	0	0
261	2.00E+11	2003	6	3	34.3000145	89.178	19003.92424	0	0
262	2.00E+11	2003	6	3	34.12626266	26.4855	19166.23376	0	0
263	2.00E+11	2003	6	3	34.09086667	44.1687	18518.25014	0	0
264	2.00E+11	2003	6	3	33.96510696	454.7487	19411.36175	1.59	12
265	2.00E+11	2003	6	3	33.73863411	908.8741	27642.66688	0	0
266	2.00E+11	2003	6	3	33.83856773	81.097	18299.81825	0	0
267	2.00E+11	2003	6	3	33.56492233	241.3853	18332.70232	2.37	31
268	2.00E+11	2003	6	3	33.44796667	30.5006	15532.42318	0	0
269	2.00E+11	2003	6	3	33.41229167	640.7919	24840.03298	0	0
270	2.00E+11	2003	6	3	33.28986168	90.4429	11007.70357	0	0
271	2.00E+11	2003	6	3	33.21285	1156.8116	25957.14069	0	0
272	2.00E+11	2003	6	3	32.87557793	127.977	19158.6972	0	0
273	2.00E+11	2003	6	3	32.77054583	116.8322	16059.86882	0	0
274	2.00E+11	2003	6	3	32.68720436	931.7487	25003.8871	0	0
275	2.00E+11	2003	6	3	32.78855515	78.4456	15738.06455	0	0
276	2.00E+11	2003	6	3	32.84720802	1072.2504	28331.44495	0	0
277	2.00E+11	2003	6	3	33.03456497	35.2187	17086.05804	0	0
278	2.00E+11	2003	6	3	32.91755	85.2832	17657.65114	0	0
279	2.00E+11	2003	6	3	32.65855408	251.3473	21814.45541	2.67	17
280	2.00E+11	2003	8	3	46.43943333	1034.728	17766.58037	0	0
281	2.00E+11	2003	8	3	46.61604167	1066.2713	22198.4941	0	0
282	2.00E+11	2003	8	3	46.73584175	917.0153	23746.45408	0	0
283	2.00E+11	2003	8	3	47.34052917	1155.9749	18611.74911	0	0
284	2.00E+11	2003	8	3	47.29128265	198.7694	17151.00993	19.78	0
285	2.00E+11	2003	8	3	47.550275	783.0227	22112.60998	0	0
286	2.00E+11	2003	8	3	47.61138333	924.284	23149.05102	0	0
287	2.00E+11	2003	8	3	47.68449167	1094.8504	25492.3718	0	0
288	2.00E+11	2003	8	3	47.70813333	939.953	15630.02676	0	0
289	2.00E+11	2003	8	3	47.84888333	958.5916	25316.3593	0	0
290	2.00E+11	2003	8	3	47.91157083	471.8472	16355.95998	5.7	28
291	2.00E+11	2003	8	3	47.93388748	255.2224	16718.82774	1.43	4
292	2.00E+11	2003	8	3	48.01008797	502.2333	19751.72657	7.09	93
293	2.00E+11	2003	8	3	47.99886894	176.6456	13285.10722	6.45	33
294	2.00E+11	2003	8	3	47.97497083	167.7309	14935.6851	0.89	4
295	2.00E+11	2003	8	3	48.15063477	133.1773	16591.73902	2.73	11
296	2.00E+11	2003	8	3	48.13607597	194.7618	15918.49388	7.54	55
297	2.00E+11	2003	8	3	48.38203621	117.1405	17076.15248	1.92	8
298	2.00E+11	2003	8	3	48.26071167	199.6406	16330.75784	40.95	153
299	2.00E+11	2003	8	3	48.2699375	112.7175	13350.85581	5.24	38
300	2.00E+11	2003	8	3	48.14546667	88.1067	14724.05646	13.24	84
301	2.00E+11	2003	8	3	48.016825	65.4193	13899.17693	10.42	57
302	2.00E+11	2003	8	3	47.86285019	111.2043	17192.51654	8.38	41
303	2.00E+11	2003	8	3	47.75149918	98.6792	15283.06011	5.11	48
304	2.00E+11	2003	8	3	47.63489532	187.0703	18770.64154	15.26	95
305	2.00E+11	2003	8	3	47.65342522	107.238	15596.39385	8.73	54
306	2.00E+11	2003	8	3	47.47892917	142.5082	15388.03236	0.12	1
307	2.00E+11	2003	8	3	47.02638245	155.4036	18534.10142	14.38	43
308	2.00E+11	2003	8	3	46.93976784	305.1937	19658.40233	43.31	130
309	2.00E+11	2003	8	3	46.58316231	88.4169	17436.44246	36.78	50
310	2.00E+11	2003	8	3	46.28311667	823.6732	26830.11094	0	0
311	2.00E+11	2003	8	3	46.11963654	179.4055	19974.1855	6.99	51
312	2.00E+11	2003	8	3	46.1333875	1162.2261	40366.81197	0	0
313	2.00E+11	2003	8	3	46.04362917	876.4668	20240.18737	0	0
314	2.00E+11	2003	8	3	45.84160833	209.9353	14330.20116	8.18	64
315	2.00E+11	2003	8	3	46.03141212	124.2861	18349.9242	5.26	73
316	2.00E+11	2003	8	3	45.73855209	153.4589	16602.44548	13.73	63
317	2.00E+11	2003	8	3	45.55990982	116.0771	19641.2136	2.25	36
318	2.00E+11	2003	8	3	45.606575	1053.915	20075.6013	0	0
319	2.00E+11	2003	8	3	45.3604126	580.6284	15023.81094	3.01	32
320	2.00E+11	2003	8	3	45.33712959	398.0394	16478.77157	2.15	40
321	2.00E+11	2003	8	3	45.13315773	328.3829	19479.1612	12.29	112
322	2.00E+11	2003	8	3	45.04554939	338.4895	17990.38313	38.78	92
323	2.00E+11	2003	8	3	45.16555405	796.6259	23660.97533	0	0
324	2.00E+11	2003	8	3	45.07253647	639.2705	20162.08814	0.45	1
325	2.00E+11	2003	8	3	44.92835	1093.8326	27124.65538	0	0
326	2.00E+11	2003	8	3	44.63492917	982.1085	22785.06208	0	0
327	2.00E+11	2003	8	3	44.34728622	587.2333	17892.59217	5.59	69
328	2.00E+11	2003	8	3	44.63276863	241.9681	17300.21509	2.68	17
329	2.00E+11	2003	8	3	44.77535248	70.6407	20040.16488	0.01	3
330	2.00E+11	2003	8	3	44.57140732	69.6011	18969.94475	0	0
331	2.00E+11	2003	8	3	44.33571434	82.0532	18704.67325	33.46	407
332	2.00E+11	2003	8	3	44.1073513	95.4345	15810.74837	9.77	132
333	2.00E+11	2003	8	3	43.81924438	312.2067	19590.49031	12.23	86
334	2.00E+11	2003	8	3	43.6918875	725.1032	23875.59625	0	0
335	2.00E+11	2003	8	3	43.54938126	659.9366	25865.5452	0	0
336	2.00E+11	2003	8	3	43.31737518	578.0477	16705.77997	4.12	19
337	2.00E+11	2003	8	3	43.47712898	262.0939	18236.45366	227.17	709
338	2.00E+11	2003	8	3	42.95125198	393.5112	17596.70838	47.67	132
339	2.00E+11	2003	8	3	42.88893127	230.4071	16843.82545	33.83	168
340	2.00E+11	2003	8	3	42.99168587	109.5833	17561.8643	16.11	160
341	2.00E+11	2003	8	3	42.80139542	64.0345	15688.15321	1.65	9
342	2.00E+11	2003	8	3	42.72468567	177.7229	17471.44137	38.04	384
343	2.00E+11	2003	8	3	42.65593333	679.726	20317.63146	0.08	1
344	2.00E+11	2003	8	3	42.41792297	137.4958	17984.92608	47.61	92
345	2.00E+11	2003	8	3	42.42547798	205.7377	14917.2473	28.82	90
346	2.00E+11	2003	8	3	42.29453659	592.1345	16378.682	4.79	38
347	2.00E+11	2003	8	3	42.26301575	572.3657	20623.09073	29.22	72
348	2.00E+11	2003	8	3	42.23293304	395.9658	19258.21788	12.52	37
349	2.00E+11	2003	8	3	42.24419785	98.2392	18653.47806	3.83	61
350	2.00E+11	2003	8	3	42.18650055	570.9977	16968.20595	37.87	156
351	2.00E+11	2003	8	3	42.05963326	217.6989	18162.66487	35.06	253
352	2.00E+11	2003	8	3	42.05776405	324.7923	17632.27609	43.54	800
353	2.00E+11	2003	8	3	41.96260452	751.1175	21078.87617	0	0
354	2.00E+11	2003	8	3	42.0025125	943.6419	27443.87224	0	0
355	2.00E+11	2003	8	3	41.83682632	847.0342	20885.53084	0	0
356	2.00E+11	2003	8	3	41.56597519	892.7254	24244.73641	0	0
357	2.00E+11	2003	8	3	41.48590417	948.4094	30471.35245	0	0
358	2.00E+11	2003	8	3	41.82995987	483.7149	18492.06246	23.66	408
359	2.00E+11	2003	8	3	41.559275	249.4906	14512.11434	4.38	43
360	2.00E+11	2003	8	3	41.56997299	71.9748	17468.89094	4.27	61
361	2.00E+11	2003	8	3	41.40097046	112.2752	18841.41208	61.84	150
362	2.00E+11	2003	8	3	41.29444885	594.493	20520.35003	16.71	61
363	2.00E+11	2003	8	3	41.299575	81.5309	19875.52544	9.6	96
364	2.00E+11	2003	8	3	41.13782883	319.3125	20637.45093	30.76	152
